"id";"Nome";"distanciaCapital"
1;"Sabará";18
2;"Ibirité";20
3;"Contagem";21
4;"Nova Lima";23
5;"Santa Luzia";27
6;"São José da Lapa";28
7;"Vespasiano";30
8;"Betim";31
9;"Raposos";31
10;"Ribeirão das Neves";35
11;"Confins";40
12;"Lagoa Santa";40
13;"Mário Campos";40
14;"Pedro Leopoldo";40
15;"Rio Acima";40
16;"Sarzedo";40
17;"São Joaquim de Bicas";41
18;"Caeté";46
19;"Juataba";47
20;"Matozinhos";48
21;"Igarapé";50
22;"Capim Branco";55
23;"Brumadinho";56
24;"Itabirito";58
25;"Mateus Leme";58
26;"Moeda";58
27;"Esmeraldas";59
28;"Florestal";62
29;"Nova União";62
30;"Prudente de Morais";62
31;"Taquaraçu de Minas";62
32;"Jaboticatubas";63
33;"Sete Lagoas";72
34;"Bom Jesus do Amparo";74
35;"Itatiaiaçu";74
36;"Itaúna";79
37;"Funilândia";80
38;"Rio Manso";80
39;"Congonhas";81
40;"Pará de Minas";82
41;"Belo Vale";88
42;"São Gonçalo do Rio Abaixo";88
43;"Bonfim";90
44;"Inhaúma";91
45;"Cachoeira da Prata";95
46;"Caetanópolis";96
47;"Igaratinga";98
48;"Paraopeba";98
49;"Baldim";99
50;"Barão de Cocais";99
51;"Conselheiro Lafaiete";99
52;"Itaguara";99
53;"Ouro Preto";99
54;"Ouro Branco";100
55;"São José da Varginha";103
56;"São Brás do Suaçui";104
57;"Fortuna de Minas";105
58;"Jequitibá";105
59;"Onça de Pitangui";108
60;"Piedade dos Gerais";108
61;"Santa Bárbara";108
62;"Santana do Riacho";108
63;"Cordisburgo";110
64;"Itabira";110
65;"Jeceaba";110
66;"Itambé do Mato Dentro";112
67;"Mariana";112
68;"Piracema";114
69;"Pequi";116
70;"João Monlevade";118
71;"Cristiano Otoni";119
72;"Crucilândia";119
73;"Itaverava";119
74;"Queluzito";119
75;"Araçaí";120
76;"Catas Altas";120
77;"Carmópolis de Minas";122
78;"São Gonçalo do Pará";122
79;"Divinópolis";123
80;"Carmo do Cajuru";124
81;"Nova Serrana";125
82;"Pitangui";125
83;"Rio Piracicaba";127
84;"Bela Vista de Minas";128
85;"Caranaíba";129
86;"Casa Grande";129
87;"Conceição do Pará";129
88;"Entre Rios de Minas";130
89;"Carandaí";133
90;"Santa Maria de Itabira";133
91;"Maravilhas";135
92;"Santana dos Montes";135
